날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2011-01-01,108,-6.8,-10.4,-2.9
2011-01-02,108,-5.4,-8.5,-1.2
2011-01-03,108,-4.5,-8.5,-0.3
2011-01-04,108,-3.9,-7.4,-1.7
2011-01-05,108,-4,-7.7,-1.8
2011-01-06,108,-7.6,-9.8,-4.6
2011-01-07,108,-7,-10.6,-2.9
2011-01-08,108,-3.6,-8.2,0.1
2011-01-09,108,-7,-10.3,-0.3
2011-01-10,108,-8.2,-11.8,-4.6
2011-01-11,108,-5.4,-7.8,-2.7
2011-01-12,108,-8.2,-11.1,-4.9
2011-01-13,108,-5.9,-11.1,-0.6
2011-01-14,108,-3.8,-6.9,0.3
2011-01-15,108,-12.2,-15.7,-6.9
2011-01-16,108,-14.5,-17.8,-10.7
2011-01-17,108,-9.7,-14.1,-4.8
2011-01-18,108,-6.7,-10.8,-2.7
2011-01-19,108,-6.6,-10,-3.2
2011-01-20,108,-8.2,-10.5,-4.7
2011-01-21,108,-6.8,-9.7,-3.2
2011-01-22,108,-4.3,-7.1,-0.8
2011-01-23,108,-4.5,-7.1,-2.1
2011-01-24,108,-8.8,-10.9,-5.8
2011-01-25,108,-8.4,-11.9,-4.4
2011-01-26,108,-8.5,-10.7,-5.2
2011-01-27,108,-8.9,-11.5,-5.7
2011-01-28,108,-7.9,-10.5,-4.3
2011-01-29,108,-9.1,-11.5,-5.5
2011-01-30,108,-10.1,-13.6,-5.7
2011-01-31,108,-6.2,-12.7,-1.8
