"날짜","종가","오픈","고가","저가","변동"
"2011년 12월 30일","1,159.25","1,157.25","1,159.40","1,155.90","0.19%"
"2011년 12월 29일","1,157.00","1,157.50","1,159.30","1,149.30","-0.04%"
"2011년 12월 28일","1,157.50","1,156.15","1,159.60","1,153.30","0.12%"
"2011년 12월 27일","1,156.15","1,155.00","1,160.40","1,151.40","0.10%"
"2011년 12월 26일","1,155.00","1,149.50","1,156.00","1,145.20","0.48%"
"2011년 12월 23일","1,149.50","1,154.50","1,154.50","1,147.40","-0.43%"
"2011년 12월 22일","1,154.50","1,151.30","1,159.10","1,151.30","0.28%"
"2011년 12월 21일","1,151.30","1,157.50","1,157.80","1,145.30","-0.58%"
"2011년 12월 20일","1,158.00","1,176.50","1,176.50","1,158.00","-1.55%"
"2011년 12월 19일","1,176.25","1,159.25","1,180.55","1,158.15","1.52%"
"2011년 12월 16일","1,158.65","1,155.05","1,159.45","1,152.95","0.12%"
"2011년 12월 15일","1,157.25","1,158.75","1,163.75","1,155.95","-0.15%"
"2011년 12월 14일","1,159.00","1,158.00","1,161.40","1,155.80","0.09%"
"2011년 12월 13일","1,158.00","1,150.20","1,161.10","1,150.20","0.72%"
"2011년 12월 12일","1,149.70","1,147.10","1,149.70","1,138.30","0.25%"
"2011년 12월 09일","1,146.80","1,140.60","1,148.50","1,137.00","1.12%"
"2011년 12월 08일","1,134.05","1,129.50","1,134.30","1,128.90","0.39%"
"2011년 12월 07일","1,129.62","1,129.12","1,131.17","1,124.62","0.05%"
"2011년 12월 06일","1,129.00","1,125.00","1,133.30","1,125.00","0.36%"
"2011년 12월 05일","1,125.00","1,128.50","1,133.50","1,125.00","-0.31%"
"2011년 12월 02일","1,128.50","1,126.40","1,131.90","1,126.00","0.13%"
"2011년 12월 01일","1,127.05","1,140.55","1,140.55","1,122.40","-1.18%"
"2011년 11월 30일","1,140.55","1,140.00","1,146.30","1,137.30","0.05%"
"2011년 11월 29일","1,140.00","1,153.00","1,156.20","1,140.00","-1.13%"
"2011년 11월 28일","1,153.00","1,162.50","1,162.50","1,151.50","-0.82%"
"2011년 11월 25일","1,162.50","1,158.40","1,165.20","1,155.90","0.59%"
"2011년 11월 24일","1,155.65","1,160.20","1,160.90","1,151.65","-0.44%"
"2011년 11월 23일","1,160.70","1,144.65","1,160.70","1,144.65","1.40%"
"2011년 11월 22일","1,144.65","1,144.00","1,151.70","1,143.40","0.08%"
"2011년 11월 21일","1,143.75","1,139.25","1,144.05","1,135.65","0.39%"
"2011년 11월 18일","1,139.25","1,138.55","1,141.35","1,131.65","0.49%"
"2011년 11월 17일","1,133.65","1,136.15","1,144.80","1,128.40","-0.26%"
"2011년 11월 16일","1,136.65","1,129.50","1,138.80","1,129.50","0.68%"
"2011년 11월 15일","1,129.00","1,126.80","1,129.00","1,124.30","0.15%"
"2011년 11월 14일","1,127.30","1,127.40","1,127.40","1,117.80","0.06%"
"2011년 11월 11일","1,126.60","1,127.10","1,131.70","1,122.10","-0.51%"
"2011년 11월 10일","1,132.35","1,119.35","1,138.10","1,119.35","1.18%"
"2011년 11월 09일","1,119.10","1,114.30","1,119.35","1,110.05","0.41%"
"2011년 11월 08일","1,114.55","1,115.75","1,123.10","1,113.30","-0.15%"
"2011년 11월 07일","1,116.25","1,111.60","1,121.00","1,111.60","0.50%"
"2011년 11월 04일","1,110.75","1,114.05","1,114.65","1,109.95","-1.50%"
"2011년 11월 03일","1,127.65","1,121.40","1,134.95","1,121.40","0.49%"
