"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 11월 23일","822,000","831,000","836,000","819,000","0.02K","-0.72%"
"2020년 11월 22일","828,000","828,000","828,000","828,000","-","0.00%"
"2020년 11월 20일","828,000","831,000","832,000","814,000","75.44K","0.00%"
"2020년 11월 19일","828,000","798,000","830,000","798,000","0.00K","3.50%"
"2020년 11월 18일","800,000","783,000","808,000","783,000","0.01K","1.39%"
"2020년 11월 17일","789,000","794,000","794,000","782,000","104.85K","-1.38%"
"2020년 11월 16일","800,000","808,000","811,000","795,000","0.07K","-0.99%"
"2020년 11월 15일","808,000","808,000","808,000","808,000","-","0.00%"
"2020년 11월 13일","808,000","791,000","809,000","791,000","70.59K","2.15%"
"2020년 11월 12일","791,000","796,000","809,000","791,000","0.00K","-1.25%"
"2020년 11월 11일","801,000","784,000","807,000","783,000","0.00K","0.50%"
"2020년 11월 10일","797,000","803,000","817,000","797,000","0.00K","-5.57%"
"2020년 11월 09일","844,000","841,000","852,000","838,000","0.01K","-0.47%"
"2020년 11월 08일","848,000","848,000","848,000","848,000","-","0.00%"
"2020년 11월 06일","848,000","836,000","848,000","830,000","91.14K","0.59%"
"2020년 11월 05일","843,000","845,000","846,000","829,000","0.00K","0.72%"
"2020년 11월 04일","837,000","791,000","838,000","788,000","0.11K","7.03%"
"2020년 11월 03일","782,000","778,000","792,000","778,000","48.29K","0.51%"
"2020년 11월 02일","778,000","782,000","795,000","777,000","48.52K","0.26%"
"2020년 11월 01일","776,000","776,000","776,000","776,000","-","0.00%"
"2020년 10월 30일","776,000","811,000","813,000","774,000","91.51K","-4.55%"
"2020년 10월 29일","813,000","797,000","815,000","793,000","0.00K","1.37%"
"2020년 10월 28일","802,000","776,000","803,000","775,000","77.87K","2.56%"
"2020년 10월 27일","782,000","785,000","800,000","780,000","74.93K","-1.76%"
"2020년 10월 26일","796,000","795,000","809,000","788,000","0.00K","0.00%"
"2020년 10월 25일","796,000","796,000","796,000","796,000","-","0.00%"
"2020년 10월 23일","796,000","816,000","816,000","791,000","80.62K","-1.85%"
"2020년 10월 22일","811,000","807,000","820,000","798,000","84.81K","0.25%"
"2020년 10월 21일","809,000","798,000","813,000","794,000","0.01K","1.89%"
"2020년 10월 20일","794,000","780,000","796,000","774,000","0.01K","2.98%"
"2020년 10월 19일","771,000","774,000","781,000","770,000","0.00K","0.52%"
"2020년 10월 18일","767,000","767,000","767,000","767,000","-","0.00%"
"2020년 10월 16일","767,000","753,000","774,000","746,000","135.73K","2.27%"
"2020년 10월 15일","750,000","751,000","756,000","746,000","0.01K","-0.27%"
"2020년 10월 14일","752,000","751,000","758,000","751,000","66.33K","-0.27%"
"2020년 10월 13일","754,000","755,000","760,000","751,000","77.33K","0.00%"
"2020년 10월 12일","754,000","755,000","763,000","750,000","121.16K","0.40%"
"2020년 10월 11일","751,000","751,000","751,000","751,000","-","0.00%"
"2020년 10월 08일","751,000","750,000","768,000","750,000","196.22K","-2.21%"
"2020년 10월 07일","768,000","781,000","785,000","761,000","170.61K","-2.54%"
"2020년 10월 06일","788,000","793,000","794,000","786,000","0.01K","-0.13%"
"2020년 10월 05일","789,000","810,000","811,000","780,000","94.55K","-2.11%"
"2020년 09월 29일","806,000","809,000","810,000","791,000","69.00K","0.88%"
"2020년 09월 28일","799,000","794,000","808,000","784,000","76.87K","1.91%"
"2020년 09월 25일","784,000","797,000","797,000","778,000","67.69K","-0.38%"
"2020년 09월 24일","787,000","796,000","799,000","785,000","0.06K","-2.24%"
"2020년 09월 23일","805,000","790,000","810,000","787,000","0.01K","2.29%"
"2020년 09월 22일","787,000","807,000","813,000","785,000","101.06K","-2.11%"
"2020년 09월 21일","804,000","812,000","824,000","804,000","0.02K","-2.07%"
"2020년 09월 20일","821,000","821,000","821,000","821,000","-","0.00%"
"2020년 09월 18일","821,000","810,000","823,000","806,000","83.80K","1.99%"
"2020년 09월 17일","805,000","822,000","822,000","802,000","0.05K","-2.07%"
"2020년 09월 16일","822,000","826,000","847,000","822,000","0.00K","-0.24%"
"2020년 09월 15일","824,000","820,000","833,000","817,000","70.34K","-0.72%"
"2020년 09월 14일","830,000","824,000","830,000","806,000","0.00K","1.47%"
"2020년 09월 11일","818,000","827,000","839,000","810,000","99.56K","-1.45%"
"2020년 09월 10일","830,000","802,000","839,000","799,000","0.04K","4.93%"
"2020년 09월 09일","791,000","804,000","809,000","791,000","0.01K","-2.47%"
"2020년 09월 08일","811,000","814,000","818,000","809,000","0.01K","-0.12%"
"2020년 09월 07일","812,000","816,000","819,000","809,000","0.00K","-0.12%"
"2020년 09월 06일","813,000","813,000","813,000","813,000","-","0.00%"
"2020년 09월 04일","813,000","813,000","825,000","808,000","122.91K","-2.63%"
"2020년 09월 03일","835,000","845,000","850,000","833,000","0.05K","-1.76%"
"2020년 09월 02일","850,000","840,000","855,000","834,000","107.69K","2.66%"
"2020년 09월 01일","828,000","821,000","834,000","819,000","91.51K","0.36%"
"2020년 08월 31일","825,000","859,000","862,000","822,000","132.89K","-3.62%"
"2020년 08월 30일","856,000","856,000","856,000","856,000","-","0.00%"
"2020년 08월 28일","856,000","865,000","865,000","843,000","99.21K","-0.81%"
"2020년 08월 27일","863,000","822,000","867,000","821,000","0.03K","5.50%"
"2020년 08월 26일","818,000","827,000","830,000","816,000","0.01K","-0.97%"
"2020년 08월 25일","826,000","839,000","841,000","817,000","0.02K","-1.78%"
"2020년 08월 24일","841,000","826,000","842,000","813,000","0.01K","2.19%"
"2020년 08월 23일","823,000","823,000","823,000","823,000","-","0.00%"
"2020년 08월 21일","823,000","799,000","825,000","792,000","157.18K","5.11%"
"2020년 08월 20일","783,000","832,000","843,000","780,000","0.00K","-6.90%"
"2020년 08월 19일","841,000","836,000","849,000","823,000","0.06K","0.84%"
"2020년 08월 18일","834,000","878,000","887,000","825,000","0.01K","-4.36%"
"2020년 08월 17일","872,000","872,000","872,000","872,000","-","0.00%"
"2020년 08월 14일","872,000","898,000","898,000","859,000","133.13K","-2.79%"
"2020년 08월 13일","897,000","836,000","905,000","835,000","0.13K","5.53%"
"2020년 08월 12일","850,000","836,000","850,000","827,000","0.92K","1.19%"
"2020년 08월 11일","840,000","828,000","846,000","813,000","0.07K","-0.12%"
"2020년 08월 10일","841,000","865,000","865,000","835,000","0.24K","-2.77%"
"2020년 08월 09일","865,000","865,000","865,000","865,000","-","0.00%"
"2020년 08월 07일","865,000","860,000","885,000","856,000","141.25K","1.29%"
"2020년 08월 06일","854,000","847,000","854,000","840,000","0.00K","0.95%"
"2020년 08월 05일","846,000","841,000","847,000","836,000","69.02K","0.00%"
"2020년 08월 04일","846,000","852,000","860,000","828,000","0.03K","0.24%"
"2020년 08월 03일","844,000","817,000","844,000","816,000","0.01K","4.07%"
"2020년 08월 02일","811,000","811,000","811,000","811,000","-","0.00%"
"2020년 07월 31일","811,000","832,000","832,000","810,000","100.15K","-1.70%"
"2020년 07월 30일","825,000","817,000","832,000","807,000","0.05K","1.60%"
"2020년 07월 29일","812,000","797,000","824,000","796,000","179.39K","2.27%"
"2020년 07월 28일","794,000","788,000","802,000","786,000","0.15K","1.15%"
"2020년 07월 27일","785,000","798,000","807,000","785,000","0.00K","-2.12%"
"2020년 07월 26일","802,000","802,000","802,000","802,000","-","0.00%"
"2020년 07월 24일","802,000","805,000","828,000","796,000","195.45K","-1.11%"
"2020년 07월 23일","811,000","844,000","850,000","805,000","337.88K","-5.81%"
"2020년 07월 22일","861,000","851,000","866,000","836,000","0.20K","0.23%"
"2020년 07월 21일","859,000","860,000","876,000","856,000","0.15K","0.00%"
"2020년 07월 20일","859,000","881,000","881,000","848,000","0.00K","-2.39%"
"2020년 07월 17일","880,000","872,000","897,000","871,000","84.60K","0.11%"
"2020년 07월 16일","879,000","915,000","923,000","875,000","0.10K","-5.28%"
"2020년 07월 15일","928,000","946,000","958,000","925,000","0.02K","-1.90%"
"2020년 07월 14일","946,000","949,000","964,000","939,000","0.00K","-1.97%"
"2020년 07월 13일","965,000","954,000","978,000","953,000","0.05K","2.22%"
"2020년 07월 10일","944,000","947,000","975,000","940,000","127.32K","-0.32%"
"2020년 07월 09일","947,000","956,000","959,000","943,000","0.01K","0.21%"
"2020년 07월 08일","945,000","957,000","962,000","936,000","0.00K","-1.77%"
"2020년 07월 07일","962,000","979,000","979,000","960,000","0.08K","-3.32%"
"2020년 07월 06일","995,000","942,000","997,000","942,000","0.03K","5.40%"
"2020년 07월 05일","944,000","944,000","944,000","944,000","-","0.00%"
"2020년 07월 03일","944,000","961,000","963,000","941,000","81.11K","-2.07%"
"2020년 07월 02일","964,000","899,000","964,000","896,000","0.08K","7.95%"
"2020년 07월 01일","893,000","905,000","905,000","890,000","0.01K","0.22%"
"2020년 06월 30일","891,000","896,000","911,000","882,000","96.14K","0.11%"
"2020년 06월 29일","890,000","909,000","924,000","887,000","80.50K","-2.09%"
"2020년 06월 28일","909,000","909,000","909,000","909,000","-","0.00%"
"2020년 06월 26일","909,000","924,000","928,000","901,000","79.26K","-0.33%"
"2020년 06월 25일","912,000","935,000","940,000","912,000","83.45K","-3.29%"
"2020년 06월 24일","943,000","916,000","945,000","909,000","0.02K","2.50%"
"2020년 06월 23일","920,000","898,000","957,000","896,000","0.00K","3.60%"
"2020년 06월 22일","888,000","842,000","896,000","839,000","0.02K","3.62%"
"2020년 06월 21일","857,000","857,000","857,000","857,000","-","0.00%"
"2020년 06월 19일","857,000","843,000","857,000","824,000","99.49K","3.00%"
